,strategy_returns,cumulative_returns,drawdown
126,-0.0,-0.03669675033513009,-0.03958992049122312
127,-0.0,-0.03669675033513009,-0.03958992049122312
128,-0.0,-0.03669675033513009,-0.03958992049122312
129,0.0,-0.03669675033513009,-0.03958992049122312
130,-0.0,-0.03669675033513009,-0.03958992049122312
131,0.0,-0.03669675033513009,-0.03958992049122312
132,-3.837151299343186e-05,-0.040532419933947406,-0.0434254790768529
133,-0.00011512337400958889,-0.052039428730421555,-0.05493215483376446
134,0.0,-0.052039428730421555,-0.05493215483376446
135,-1.9187044908074226e-05,-0.053957116340930256,-0.0568497869419482
136,-7.675186127021523e-05,-0.061627866782898444,-0.06452031537458325
137,-0.0,-0.061627866782898444,-0.06452031537458325
138,0.00010553532804893604,-0.05108028133348208,-0.05397303519678598
139,-0.00013431962333934635,-0.06450448099636352,-0.06739684633214615
140,0.0,-0.06450448099636352,-0.06739684633214615
141,0.0001536484164720949,-0.0491483706697049,-0.05204118044698225
142,3.816866734564666e-05,-0.04533330705547289,-0.04822622724955927
143,-7.672241832815421e-05,-0.05300177663181138,-0.05589447488257848
144,0.00011508142023171827,-0.04149907226729255,-0.044392103433033014
145,-1.9179317025044854e-05,-0.04341618966137162,-0.04630916534128504
146,2.8768837597055533e-05,-0.04054051357024191,-0.04343357247890145
147,-9.589934412186243e-05,-0.05012610054067057,-0.05301888202018379
148,0.0,-0.05012610054067057,-0.05301888202018379
149,-0.0,-0.05012610054067057,-0.05301888202018379
150,0.0,-0.05012610054067057,-0.05301888202018379
151,-7.671653245024159e-05,-0.057793614168788476,-0.060686173732649173
152,-0.0,-0.057793614168788476,-0.060686173732649173
153,-0.0,-0.057793614168788476,-0.060686173732649173
154,-0.0,-0.057793614168788476,-0.060686173732649173
155,-0.0,-0.057793614168788476,-0.060686173732649173
156,-0.0,-0.057793614168788476,-0.060686173732649173
157,0.0,-0.057793614168788476,-0.060686173732649173
158,-0.0,-0.057793614168788476,-0.060686173732649173
159,-0.0,-0.057793614168788476,-0.060686173732649173
170,-0.0,-0.057793614168788476,-0.060686173732649173
171,-0.0,-0.057793614168788476,-0.060686173732649173
173,-1.9193673765714567e-05,-0.05971185386448585,-0.06260435791003438
174,-1.9193305375694713e-05,-0.06163001992618433,-0.06452246845555232
175,-0.0,-0.06163001992618433,-0.06452246845555232
176,0.0,-0.06163001992618433,-0.06452246845555232
178,0.0,-0.06163001992618433,-0.06452246845555232
179,0.0,-0.06163001992618433,-0.06452246845555232
180,-0.0,-0.06163001992618433,-0.06452246845555232
181,-0.0,-0.06163001992618433,-0.06452246845555232
182,-0.0,-0.06163001992618433,-0.06452246845555232
183,-1.900137414535099e-05,-0.06352896824427523,-0.0664213618136622
184,9.57782796898759e-05,-0.0539567665733931,-0.05684943718453628
185,-0.0001727397488050364,-0.07121992991541148,-0.07411210089051101
186,-0.0,-0.07121992991541148,-0.07411210089051101
187,1.9194410588160113e-05,-0.06930183747290153,-0.07219406396204997
188,7.678132681901956e-05,-0.061628731306173634,-0.06452117987283401
189,-9.578379512503832e-05,-0.07120074935547116,-0.0740929208857044
190,0.0001053818755092207,-0.06066951018193212,-0.06356198651068512
191,1.209371245006555e-05,-0.05946086534804884,-0.06235337665778662
192,-7.927834063262768e-05,-0.06738367139497159,-0.07027595340030057
193,3.8390663395394286e-05,-0.06354711831584314,-0.0664395113599281
194,-0.0,-0.06354711831584314,-0.0664395113599281
195,6.719107705015617e-05,-0.05683205481650244,-0.05972464221012386
196,-4.780211537743397e-05,-0.0616094354764396,-0.06450188460156436
197,-9.617323629111858e-05,-0.07122037176192642,-0.07411254272423617
198,0.0,-0.07122037176192642,-0.07411254272423617
199,-0.0,-0.07122037176192642,-0.07411254272423617
200,0.0,-0.07122037176192642,-0.07411254272423617
201,-0.0,-0.07122037176192642,-0.07411254272423617
202,-0.0,-0.07122037176192642,-0.07411254272423617
203,-1.919827983475118e-05,-0.07313881402132294,-0.07603092945945855
204,3.8396928250415053e-05,-0.06930185583884363,-0.07219408232745916
205,-4.7995929954199845e-05,-0.07409800752844475,-0.0769900952052871
206,-0.0,-0.07409800752844475,-0.0769900952052871
207,-6.719301195187874e-05,-0.08081210428260155,-0.08370399763789615
208,-0.0,-0.08081210428260155,-0.08370399763789615
209,-7.698806564007712e-05,-0.08850439316799852,-0.09139606389059196
210,-0.0,-0.08850439316799852,-0.09139606389059196
211,4.80046852664703e-05,-0.08370805814453819,-0.08659986768420058
212,-6.720591414567111e-05,-0.09042279824488242,-0.09331441344437863
213,-0.00019199201372209406,-0.1096027978996772,-0.11249385798542955
214,-0.0,-0.1096027978996772,-0.11249385798542955
215,0.0,-0.1096027978996772,-0.11249385798542955
216,0.0,-0.1096027978996772,-0.11249385798542955
217,0.0,-0.1096027978996772,-0.11249385798542955
218,-0.0,-0.1096027978996772,-0.11249385798542955
219,-0.0,-0.1096027978996772,-0.11249385798542955
220,-0.0,-0.1096027978996772,-0.11249385798542955
221,-4.031526538053962e-05,-0.11362982459598436,-0.11652076813023493
222,-6.718849735477461e-05,-0.12034081426111065,-0.12323156356373044
223,0.0,-0.12034081426111065,-0.12323156356373044
224,0.0,-0.12034081426111065,-0.12323156356373044
225,-0.0,-0.12034081426111065,-0.12323156356373044
226,-0.0,-0.12034081426111065,-0.12323156356373044
227,-0.0,-0.12034081426111065,-0.12323156356373044
228,-9.600107521338419e-06,-0.12129966512594015,-0.12419038667719207
229,9.600107521236053e-06,-0.12034081426112175,-0.12323156356374154
230,9.600199684176591e-06,-0.11938194498588572,-0.12227272204041739
231,-9.600199684285759e-06,-0.12034081426113286,-0.12323156356375264
232,9.600199684176591e-06,-0.11938194498589683,-0.1222727220404285
254,0.0002521342369882556,-0.09419544650681733,-0.09708695251710031
255,0.0002472031910445677,-0.06949535997300416,-0.07238758086116626
256,-0.00013446152979867826,-0.08293126517402438,-0.08582309719588066
257,-2.881083287517772e-05,-0.08580991767433988,-0.08870166638130783
258,9.603933778650242e-05,-0.07621376422661807,-0.07910579066855439
259,-6.722850491139744e-05,-0.08293126517403548,-0.08582309719589176
260,1.920768307376215e-05,-0.08101207135253752,-0.08390395892031721
261,-3.8414997219552704e-05,-0.08485038527111799,-0.08774216174918248
262,-0.0,-0.08485038527111799,-0.08774216174918248
263,-2.8814153514076663e-05,-0.08772931425334862,-0.09062100740852008
264,-0.0002592900269495478,-0.11363221128548595,-0.11652315475065844
265,0.0,-0.11363221128548595,-0.11652315475065844
266,-0.0,-0.11363221128548595,-0.11652315475065844
267,6.7211721749522e-05,-0.1069184509079335,-0.10980958868492818
268,0.0,-0.1069184509079335,-0.10980958868492818
269,-0.0,-0.1069184509079335,-0.10980958868492818
270,-0.00012003389771686712,-0.11890828723343239,-0.1217990779967204
271,0.0,-0.11890828723343239,-0.1217990779967204
272,0.0,-0.11890828723343239,-0.1217990779967204
273,0.0,-0.11890828723343239,-0.1217990779967204
274,0.0,-0.11890828723343239,-0.1217990779967204
275,0.0,-0.11890828723343239,-0.1217990779967204
276,0.0,-0.11890828723343239,-0.1217990779967204
277,0.0,-0.11890828723343239,-0.1217990779967204
278,0.0,-0.11890828723343239,-0.1217990779967204
279,-0.0,-0.11890828723343239,-0.1217990779967204
280,-0.0,-0.11890828723343239,-0.1217990779967204
281,0.0,-0.11890828723343239,-0.1217990779967204
282,-0.0,-0.11890828723343239,-0.1217990779967204
283,0.0,-0.11890828723343239,-0.1217990779967204
284,0.0,-0.11890828723343239,-0.1217990779967204
285,0.0,-0.11890828723343239,-0.1217990779967204
286,-0.0,-0.11890828723343239,-0.1217990779967204
287,1.9197376870900612e-06,-0.11871654155338751,-0.12160733786623634
288,6.718849735477461e-05,-0.11200544275216107,-0.11489643329979371
289,-2.8794517525995886e-05,-0.11488162795268986,-0.11777253525684372
290,-0.00016318459573620578,-0.13118001075562713,-0.1340704463467346
291,-0.0,-0.13118001075562713,-0.1340704463467346
292,0.0,-0.13118001075562713,-0.1340704463467346
293,0.0,-0.13118001075562713,-0.1340704463467346
294,1.91969899124768e-05,-0.1292628116235539,-0.1321533027028532
295,-9.59886350192382e-05,-0.13884880728395332,-0.1417390209222713
296,0.0,-0.13884880728395332,-0.1417390209222713
297,0.00010691761796575403,-0.1281713200755319,-0.13106184274512822
298,-3.781336265168866e-05,-0.1319477383521006,-0.1348381517233821
299,-9.597527676892532e-06,-0.13290622014818787,-0.13579660577878183
300,-5.758710050555339e-05,-0.13865711092473365,-0.14154733011119136
301,0.0001247678599613787,-0.12619684757556593,-0.12908742739098367
302,-3.8388452758122733e-05,-0.13003077475991498,-0.13292124361258262
303,2.8791477724489076e-05,-0.1271553293716532,-0.1300458814463834
304,2.87906487992235e-05,-0.1242798839833914,-0.1271705192801842
307,-1.9193673765736594e-05,-0.12619684757557703,-0.12908742739099477
308,-0.00015337068582627802,-0.14151338667706126,-0.14440352319626815
309,-0.00023077218548845927,-0.16455528905504613,-0.1674447586880845
310,0.0,-0.16455528905504613,-0.1674447586880845
311,-0.0,-0.16455528905504613,-0.1674447586880845
312,-0.0,-0.16455528905504613,-0.1674447586880845
313,0.0,-0.16455528905504613,-0.1674447586880845
314,-0.0,-0.16455528905504613,-0.1674447586880845
315,-0.0,-0.16455528905504613,-0.1674447586880845
316,0.0,-0.16455528905504613,-0.1674447586880845
317,0.0,-0.16455528905504613,-0.1674447586880845
318,-0.0,-0.16455528905504613,-0.1674447586880845
319,-0.0,-0.16455528905504613,-0.1674447586880845
320,-4.8011599611615817e-05,-0.16934843338937133,-0.172237764297678
321,0.0,-0.16934843338937133,-0.172237764297678
322,0.0,-0.16934843338937133,-0.172237764297678
323,0.0,-0.16934843338937133,-0.172237764297678
324,-0.0,-0.16934843338937133,-0.172237764297678
325,0.0,-0.16934843338937133,-0.172237764297678
326,0.0,-0.16934843338937133,-0.172237764297678
327,-0.0,-0.16934843338937133,-0.172237764297678
328,-0.0,-0.16934843338937133,-0.172237764297678
330,-0.0,-0.16934843338937133,-0.172237764297678
331,0.0,-0.16934843338937133,-0.172237764297678
332,0.0,-0.16934843338937133,-0.172237764297678
333,-0.0,-0.16934843338937133,-0.172237764297678
334,0.0,-0.16934843338937133,-0.172237764297678
335,-0.0,-0.16934843338937133,-0.172237764297678
336,3.840725129368229e-05,-0.16551413883595378,-0.1684035807176465
337,9.602043314917439e-06,-0.16455551917604616,-0.1674449888024232
338,-0.00011502641539564757,-0.1760385720442459,-0.17892770932440571
339,0.0,-0.1760385720442459,-0.17892770932440571
340,0.0,-0.1760385720442459,-0.17892770932440571
341,-0.0,-0.1760385720442459,-0.17892770932440571
342,9.601905025318887e-05,-0.1664531098892974,-0.16934252459499533
343,-1.920454763746881e-05,-0.16837034958644415,-0.1712597088027734
344,2.880695976341891e-05,-0.16549446242540844,-0.16838390487659005
345,-0.0,-0.16549446242540844,-0.16838390487659005
346,-6.72149486297809e-05,-0.1722046080730233,-0.17509385631699903
347,-9.601766725058995e-06,-0.17316312667530198,-0.17605234717752438
348,0.000124830159128593,-0.16070094893146925,-0.1635905301180629
349,6.741476572217821e-05,-0.15397007909861982,-0.15685985509221734
350,0.00017268703859588832,-0.13672647504541224,-0.1396167501089618
351,-9.60517911263436e-06,-0.13768567506774465,-0.1405759223698122
352,-6.723367064764865e-05,-0.1443995593171099,-0.14728961230378035
353,-6.531029979878792e-06,-0.14505171710761378,-0.14794175121931596
354,2.574018890736608e-05,-0.1424813987953799,-0.14537150729806436
355,-3.841794887032494e-05,-0.14631764614846388,-0.14920764362124084
356,-3.841647298832071e-05,-0.15015359875704126,-0.15304348520844835
357,0.0,-0.15015359875704126,-0.15304348520844835
358,-0.0,-0.15015359875704126,-0.15304348520844835
411,-0.0020725793751611063,-0.35688602233956424,-0.3597699254745068
412,-0.0,-0.35688602233956424,-0.3597699254745068
413,-0.00022052725278858896,-0.3788576217670814,-0.3817408889928986
414,-0.00020139345155724972,-0.39891864733131444,-0.4018013339444626
415,-0.0005468439088828043,-0.4533700024343057,-0.4562511130987823
416,-8.637111755190142e-05,-0.4619675848189786,-0.46484844664944625
417,-0.00017276461823605756,-0.4791627495883466,-0.48204311375081854
418,0.0,-0.4791627495883466,-0.48204311375081854
419,0.00016507890233140407,-0.46273260291797014,-0.46561344260703796
420,-0.00022267097767772253,-0.48489419610127094,-0.4877743943823676
421,0.0,-0.48489419610127094,-0.4877743943823676
422,-0.0,-0.48489419610127094,-0.4877743943823676
444,-0.0,-0.48489419610127094,-0.4877743943823676
445,-0.0,-0.48489419610127094,-0.4877743943823676
446,0.00011542457017178198,-0.4734070448512595,-0.4762875755971896
447,-0.0002500697322859061,-0.4982925216249434,-0.5011723321273864
448,-0.0,-0.4982925216249434,-0.5011723321273864
449,9.617326582960844e-05,-0.4887226572859449,-0.4916027447624871
450,-0.00013425532266544494,-0.5020816791544758,-0.5049613799898989
451,-0.00026961025328429576,-0.5289037222028337,-0.5317826467460374
452,-0.0,-0.5289037222028337,-0.5317826467460374
453,0.0,-0.5289037222028337,-0.5317826467460374
454,0.0,-0.5289037222028337,-0.5317826467460374
455,-0.0,-0.5289037222028337,-0.5317826467460374
456,-0.0,-0.5289037222028337,-0.5317826467460374
457,0.0,-0.5289037222028337,-0.5317826467460374
458,0.0,-0.5289037222028337,-0.5317826467460374
459,-0.0,-0.5289037222028337,-0.5317826467460374
460,-0.0,-0.5289037222028337,-0.5317826467460374
461,0.0,-0.5289037222028337,-0.5317826467460374
463,-0.0,-0.5289037222028337,-0.5317826467460374
464,0.0003098014689676545,-0.4980826564969454,-0.5009624730733631
465,-9.808966530248355e-06,-0.49905866268704635,-0.5019384510155822
466,-0.00022115703682026806,-0.5210615628962523,-0.5239407144097541
467,9.61492236690172e-05,-0.5114962803542289,-0.5143757087092249
468,0.00020194346613237177,-0.49140319830772716,-0.4942832082031834
469,4.808778907689349e-05,-0.4866179348379407,-0.4894980832300333
470,0.00037516413870917245,-0.44927707852830956,-0.4521583076515068
471,-0.00011545011124909177,-0.4607695571477777,-0.4636504536519537
472,-2.8860445318670748e-05,-0.4636422622110725,-0.4665230755724892
473,4.1944121585545584e-05,-0.4594672095610819,-0.46234814375821776
474,-9.966251356712751e-05,-0.46938717492823745,-0.472267822018535
475,-0.00021160560641453707,-0.49044618243129223,-0.49332622002501436
476,-0.0,-0.49044618243129223,-0.49332622002501436
